countryCode;adminCode1;cityName;lat;lng
AD;8;les Escaldes;42.50729;1.53414
AD;7;Andorra la Vella;42.50779;1.52109
AE;7;Umm al Qaywayn;25.56473;55.55517
AE;5;Ras al-Khaimah;25.78953;55.9432
AE;6;Khawr Fakkan;25.33132;56.34199
AE;3;Dubai;25.0657;55.17128
AE;4;Dibba Al-Fujairah;25.59246;56.26176
AE;4;Dibba Al-Hisn;25.61955;56.27291
AE;6;Sharjah;25.33737;55.41206
AE;1;Ar Ruways;24.11028;52.73056
AE;4;Al Fujayrah;25.11641;56.34141
AE;1;Al Ain;24.19167;55.76056
AE;2;Ajman;25.41111;55.43504
AE;6;Adh Dhayd;25.28812;55.88157
AE;1;Abu Dhabi;24.46667;54.36667
AF;19;Zaranj;30.95962;61.86037
AF;26;Taloqan;36.73605;69.53451
AF;11;Shindand;33.30294;62.1474
AF;31;Shibirghan;36.66757;65.7529
AF;9;Shahrak;34.10737;64.3052
AF;33;Sar-e Pul;36.21544;65.93249
AF;33;Sang-e Charak;35.84972;66.43694
AF;32;Aibak;36.26468;68.01551
AF;26;Rustaq;37.12604;69.83045
AF;31;Qarqin;37.41853;66.04358
AF;24;Qarawul;37.21959;68.7802
AF;3;Pul-e Khumri;35.94458;68.71512
AF;13;Paghman;34.58787;68.95091
AF;3;Nahrin;36.0649;69.13343
AF;7;Maymana;35.92139;64.78361
AF;35;Mehtar Lam;34.67139;70.20944
AF;30;Mazar-e Sharif;36.70904;67.11087
AF;10;Lashkar Gah;31.59382;64.37161
AF;11;Kushk;33.29565;61.95221
AF;24;Kunduz;36.72895;68.857
AF;37;Khost;33.33951;69.92041
AF;30;Khulm;36.69736;67.69826
AF;19;Khash;31.52919;62.79055
AF;24;Khanabad;36.6825;69.11556
AF;11;Karukh;34.48108;62.5863
AF;23;Kandahar;31.61332;65.71013
AF;13;Kabul;34.52813;69.17233
AF;18;Jalalabad;34.42647;70.45153
AF;40;Jabal os Saraj;35.11833;69.23778
AF;11;Herat;34.34817;62.19967
AF;2;Ghormach;35.73062;63.78264
AF;8;Ghazni;33.55391;68.42096
AF;10;Gereshk;31.82089;64.57005
AF;36;Gardez;33.59744;69.22592
AF;1;Fayzabad;37.11664;70.58002
AF;6;Farah;32.37451;62.11638
AF;11;Kafir Qala;34.66667;61.06667
AF;40;Charikar;35.01361;69.17139
AF;17;Baraki Barak;33.96744;68.9492
AF;5;Bamyan;34.82156;67.82734
AF;30;Balkh;36.75635;66.8972
AF;3;Baghlan;36.13068;68.70829
AF;26;Art Khwajah;37.08571;69.47958
AF;34;Asmar;35.03333;71.35809
AF;34;Asadabad;34.87311;71.14697
AF;7;Andkhoy;36.95293;65.12376
AF;42;Bazarak;35.31292;69.51519
